k1R,k2R,noise_sigma,tree_depth
0.7044021133110576,0.0009279351819460634,0.09962343390269669,3.3475
0.7602142294924896,0.00102707650002053,0.08540235289200802,3.4066666666666667
0.779944013725456,0.0009827193626722507,0.09633290612126753,3.435
0.7378453081850307,0.0010000211012067214,0.10614246361753794,3.468
0.6881277000300058,0.0009945441890805724,0.08573024226358031,3.3886666666666665
0.6889314782680225,0.0006480896911260101,0.07043082563292427,3.4305
0.6574509045416301,0.0005185579479537875,0.0469070466678371,3.3655
0.6544588212698412,0.00033034973572432333,0.03622526150077828,3.410833333333333
0.6414547372309561,0.00036235767343149113,0.04806857743204578,3.4341666666666666
0.5969176005094905,0.00037632338192590976,0.05252786175860352,3.3943333333333334
0.5596302139363568,0.0005000573180672528,0.0568106329589055,3.4058333333333333
0.5303459805422339,0.0004701780447539337,0.05000213547719291,3.441666666666667
0.5126790865641582,0.0005060805731978859,0.04242157433329969,3.324
0.4982307684800826,0.0005104629600755643,0.04108627651042722,3.408333333333333
0.5060142520505438,0.0003930357783479338,0.056101366892888964,3.4273333333333333
0.509875423961656,0.0003739906520582242,0.057248185890541196,3.4113333333333333
0.5338836993617581,0.00047555540659897856,0.07017530359586355,3.4038333333333335
