period,k1R,k2R
0.01,0.7044021133110576,0.000927935181946
0.05,0.7602142294924896,0.0010270765000205
0.1,0.779944013725456,0.0009827193626722
0.2,0.7378453081850307,0.0010000211012067
0.3,0.6881277000300058,0.0009945441890805
0.4,0.6889314782680225,0.000648089691126
0.5,0.6574509045416301,0.0005185579479537
0.75,0.6544588212698412,0.0003303497357243
1.0,0.6414547372309561,0.0003623576734314
1.5,0.5969176005094905,0.0003763233819259
2.0,0.5596302139363568,0.0005000573180672
2.5,0.5303459805422339,0.0004701780447539
3.0,0.5126790865641582,0.0005060805731978
4.0,0.4982307684800826,0.0005104629600755
5.0,0.5060142520505438,0.0003930357783479
